units,series_id,name,dataset_name
$/short ton,COAL.SHIPMENT_PRICE.504591-1769-BIT.Q,Coal shipment price : Bowie No 2 Mine (504591) to Presque Isle(1769) : Bituminous : quarterly,Coal
1000 metric tons,INTL.81-1-CAF-MT.A,"Biodiesel production, Central African Republic, Annual",International Energy Data
1982=1.00,AEO.2018.ANWR_RPMR.ECI_INDX_NA_NA_WHP_INDCOM_NA_IDX82EQ1.A,"Macroeconomic Indicators : Wholesale Price Index : Industrial Commodities Excluding Energy, Mean ANWR, AEO2018",Annual Energy Outlook 2018
1982-84=1.00,AEO.2016.LOWPRICE.ECI_INDX_NA_NA_CPI_ENE_NA_IDX82TO84EQ1.A,"Macroeconomic Indicators : Consumer Price Index : Energy Commodities and Services, Low price, AEO2016",Annual Energy Outlook 2016
1987 $/mi,AEO.2020.LOWMACRO.ECI_COD_TRN_NA_NA_NA_NA_87DLRPMII.A,"Light-Duty Vehicle Miles Traveled : Price Effects : Real Cost of Driving per Mile, Low growth, AEO2020",Annual Energy Outlook 2020
1987 $/mile,AEO.2015.REF2015.ECI_COD_TRN_NA_NA_NA_NA_87DLRPMII.A,"Light-Duty Vehicle Miles Traveled : Price Effects : Real Cost of Driving per Mile, Reference, AEO2015",Annual Energy Outlook 2015
1987 $/mill Btu,AEO.2014.RLNGLOW20.PRCE_NA_TRN_NA_MGS_NA_NA_87DLRPMBTU.A,"Light-Duty Vehicle Miles Traveled : Price Effects : Motor Gasoline Price, Low rail LNG, AEO2014",Annual Energy Outlook 2014
1987 $/MMBtu,AEO.2020.AEO2019REF.PRCE_FUL_AIRT_NA_NA_NA_NA_87DLRPMBTU.A,"Air Travel : Fuel Cost, AEO2019, AEO2020",Annual Energy Outlook 2020
1996 C,AEO.2014.LOWVMT.PRCE_TKT_AIRT_DMS_NA_NA_USA_96CNT.A,"Air Travel : Ticket Price: Domestic, Low VMT, AEO2014",Annual Energy Outlook 2014
1996 cents,AEO.2016.HIGHMACRO.PRCE_TKT_AIRT_DMS_NA_NA_USA_96CNT.A,"Air Travel : Ticket Price : Domestic, High growth, AEO2016",Annual Energy Outlook 2016
2005=1.00,AEO.2014.LOWRESOURCE.ECI_NFLP_NA_NA_NA_NA_NA_Y05EQ1D2Z.A,"Macroeconomic Indicators : Key Labor Indicators: Nonfarm Labor Productivity, Low resource, AEO2014",Annual Energy Outlook 2014
2005=1.000,AEO.2014.EXTENDED.ECI_GDPD_NA_NA_NA_NA_NA_Y05EQ1D3Z.A,"Macroeconomic Indicators : Price Indices: GDP Chain-type Price Index, Extended policies, AEO2014",Annual Energy Outlook 2014
2009=1.00,AEO.2014.EXTENDED.EFF_BSE_RES_SPC_NCO_NA_NA_Y09EQ1.A,"Residential Equipment : Building Shell Efficiency Index: Space Cooling: New Construction, Extended policies, AEO2014",Annual Energy Outlook 2014
2009=1.000,AEO.2016.LOWPRICE.ECI_INDX_NA_NA_GDP_NA_NA_Y09EQ1D3Z.A,"Macroeconomic Indicators : Price Indices : GDP Chain-type Price Index, Low price, AEO2016",Annual Energy Outlook 2016
2010$/person,IEO.2019.REFERENCE.GDPPPPPERCAP_NNN_B2010DOLPERCAP.A,"GDP (purchasing power parity) : Non-OECD : Total Non-OECD, Reference, IEO2019",International Energy Outlook
2012 $/bbl,AEO.2014.HIGHVMT.PRCE_NA_CMM_NA_RFO_NA_USA_Y12DLRPBBL.A,"Real Petroleum Prices : Commercial: Residual Fuel Oil, High VMT, AEO2014",Annual Energy Outlook 2014
2012 $/gallon,AEO.2014.ESICA.PRCE_WHL_TRN_NA_ETH_NA_USA_Y12DLRPGLN.A,"Real Petroleum Prices : Transportation: Ethanol Wholesale Price, ESICA, AEO2014",Annual Energy Outlook 2014
2012 $/mill Btu,AEO.2014.NOSUNSET.PRCE_APTU_TEN_NA_DFO_NA_MDATL_Y12DLRPMMBTU.A,"Energy Prices : Average Price to All Users: Distillate Fuel Oil, Middle Atlantic, No sunset, AEO2014",Annual Energy Outlook 2014
2012 $/mmBtu,AEO.2014.HCLONUC.PRCE_RLP_TEN_NA_HHP_NA_USA_Y12DLRPMMBTU.A,"Total Energy : Real Prices: Gas Price at Henry Hub, Low nuclear and coal, AEO2014",Annual Energy Outlook 2014
2012 $/short ton,AEO.2014.LOWRESOURCE.PRCE_NA_CMM_NA_CL_NA_NA_Y12DLRPTN.A,"Coal Supply : Delivered Prices: Commercial and Institutional, Low resource, AEO2014",Annual Energy Outlook 2014
2012 $/thous cu ft,AEO.2014.BESTTECH.PRCE_SUP_NA_NA_NG_NA_WETCOT_Y12DLRPMCF.A,"Natural Gas : Supply Prices : Lower 48 Onshore : West Coast, Best available technology, AEO2014",Annual Energy Outlook 2014
2012 $/ton,AEO.2014.FLAT.PRCE_RLP_TEN_NA_CMN_NA_USA_Y12DLRPTN.A,"Total Energy : Real Prices: Coal at Minemouth, Low electricity demand, AEO2014",Annual Energy Outlook 2014
2012=1.00,AEO.2020.LOWPRICE.ECI_LP_NOFM_NA_NA_NA_NA_Y09EQ1.A,"Macroeconomic Indicators : Key Labor Indicators : Nonfarm Labor Productivity, Low price, AEO2020",Annual Energy Outlook 2020
2012=1.000,AEO.2020.LOWPRICE.ECI_INDX_NA_NA_GDP_NA_NA_Y09EQ1D3Z.A,"Macroeconomic Indicators : Price Indices : GDP Chain-type Price Index, Low price, AEO2020",Annual Energy Outlook 2020
2012 = 1.00000,TOTAL.GDPDIUS.A,"U.S. Gross Domestic Product Implicit Price Deflator, Annual",Total Energy
2012 C/kwh,AEO.2014.ALTLOWNUC14.PRCE_NA_ELEP_DSE_ELC_NA_NPCCLI_Y12CNTPKWH.A,"Electricity : Prices by Service Category: Distribution, Northeast Power Coordinating Council / Long Island, Low nuclear, AEO2014",Annual Energy Outlook 2014
2012 C/Kwh,AEO.2014.LOWRESOURCE.PRCE_RLP_TEN_NA_ELC_NA_USA_Y12CNTPKWH.A,"Total Energy : Real Prices: Electricity, Low resource, AEO2014",Annual Energy Outlook 2014
2013 $/b,AEO.2015.AEO2014FULL.PRCE_MARK_NA_NA_CR_NA_USA_Y13DLRPBBL.A,"Real Petroleum Prices : Crude Oil : Brent vs. WTI Price Spread, AEO2014 Reference, AEO2015",Annual Energy Outlook 2015
2013 $/gal,AEO.2015.HIGHMACRO.PRCE_NA_NA_NA_JFL_NA_ENC_Y13DLRPGLN.A,"Price Components : Jet Fuel : End-User Price, East North Central, High growth, AEO2015",Annual Energy Outlook 2015
2013 $/Mcf,AEO.2015.LOWPRICE.PRCE_NA_RES_NA_NG_NA_NA_Y13DLRPMCF.A,"Natural Gas Delivered : Residential : Average, Low price, AEO2015",Annual Energy Outlook 2015
2013 $/MMBtu,AEO.2015.REF2015.PRCE_NA_NA_NA_CL_MNMTH_NA_Y13DLRPMMBTU.A,"Coal Supply : Average Minemouth Price, Reference, AEO2015",Annual Energy Outlook 2015
2013 $/short ton,AEO.2015.AEO2014FULL.PRCE_NA_NA_NA_CL_NA_NA_Y13DLRPTN.A,"Coal Supply : Delivered Prices : Average, AEO2014 Reference, AEO2015",Annual Energy Outlook 2015
2013 $/ton,AEO.2015.REF2015.PRCE_RLP_TEN_NA_CMN_NA_USA_Y13DLRPTN.A,"Total Energy : Real Prices : Coal at Minemouth, Reference, AEO2015",Annual Energy Outlook 2015
2013 cents/kWh,AEO.2015.LOWMACRO.PRCE_NA_NA_NA_ELC_NA_WECCCA_Y13CNTPKWH.A,"Electricity : End-Use Prices : All Sectors Average, Western Electricity Coordinating Council / California, Low growth, AEO2015",Annual Energy Outlook 2015
2015 $/b,AEO.2016.REF_ALLOW_GEN.PRCE_NA_IDAL_NA_RFO_NA_USA_Y13DLRPBBL.A,"Real Petroleum Prices : Industrial : Residual Fuel Oil, CPP generators, AEO2016",Annual Energy Outlook 2016
2015 $/gal,AEO.2016.REF2016.PRCE_COMP_NA_NA_JFL_STAX_MTN_Y13DLRPGLN.A,"Price Components : Jet Fuel : End-User Price : State Taxes, Mountain, Reference, AEO2016",Annual Energy Outlook 2016
2015 $/Mcf,AEO.2016.REF_TRADE.PRCE_NA_NA_NA_NG_NA_WNC_Y13DLRPMCF.A,"Natural Gas Delivered : All Sectors : West North Central, CPP trading, AEO2016",Annual Energy Outlook 2016
2015 $/MMBtu,AEO.2016.REF2016.PRCE_REAL_IDAL_NA_CLTLQ_NA_WSC_Y13DLRPMMBTU.A,"Energy Prices : Industrial : Coal to Liquids, West South Central, Reference, AEO2016",Annual Energy Outlook 2016
2015 $/st,AEO.2016.HIGHRT.PRCE_MNMTH_NA_NA_CL_NA_WEMT_Y13DLRPTN.A,"Coal Minemouth Prices : Western Montana, High resource, AEO2016",Annual Energy Outlook 2016
2015 $/ton,AEO.2016.REF_HYBRID.PRCE_RLP_TEN_NA_CMN_NA_USA_Y13DLRPTN.A,"Total Energy : Real Prices : Coal at Minemouth, CPP hybrid, AEO2016",Annual Energy Outlook 2016
2015=1.00,AEO.2019.HIGHMACRO.EFI_BSE_RESD_SPH_NCO_NA_NA_Y15EQ1.A,"Residential Equipment : Building Shell Efficiency Index: Space Heating : New Construction, High growth, AEO2019",Annual Energy Outlook 2019
2015 cents/kWh,AEO.2016.LOWMACRO.PRCE_NA_NA_NA_ELC_NA_WECCRKS_Y13CNTPKWH.A,"Electricity : End-Use Prices : All Sectors Average, Western Electricity Coordinating Council / Rockies, Low growth, AEO2016",Annual Energy Outlook 2016
2016 $/b,AEO.2017.LOWRT.PRCE_NA_COMM_NA_RFO_NA_USA_Y13DLRPBBL.A,"Real Petroleum Prices : Commercial : Residual Fuel Oil, Low resource, AEO2017",Annual Energy Outlook 2017
2016 $/gal,AEO.2017.HIGHMACRO.PRCE_COMP_RES_NA_DSTL_WHP_NEENGL_Y13DLRPGLN.A,"Price Components : Residential Distillate : End-User Price : Wholesale Price, New England, High growth, AEO2017",Annual Energy Outlook 2017
2016 $/Mcf,AEO.2017.HIGHPRICE.PRCE_NA_COMM_NA_NG_NA_USA_Y13DLRPMCF.A,"Natural Gas : Delivered Prices : Commercial, High price, AEO2017",Annual Energy Outlook 2017
2016 $/MMBtu,AEO.2017.HIGHMACRO.PRCE_REAL_IDAL_NA_CLTLQ_NA_WNC_Y13DLRPMMBTU.A,"Energy Prices : Industrial : Coal to Liquids, West North Central, High growth, AEO2017",Annual Energy Outlook 2017
2016 $/st,AEO.2017.REF2017.PRCE_NA_CKPL_NA_CL_NA_NA_Y13DLRPTN.A,"Coal Supply : Delivered Prices : Coke Plants, Reference, AEO2017",Annual Energy Outlook 2017
2016 $/ton,AEO.2017.HIGHPRICE.PRCE_RLP_TEN_NA_CMN_NA_USA_Y13DLRPTN.A,"Total Energy : Real Prices : Coal at Minemouth, High price, AEO2017",Annual Energy Outlook 2017
2016 cents/kWh,AEO.2017.HIGHMACRO.PRCE_NA_RES_NA_ELC_NA_SWPPSO_Y13CNTPKWH.A,"Electricity : End-Use Prices : Residential, Southwest Power Pool / South, High growth, AEO2017",Annual Energy Outlook 2017
2017 $/b,AEO.2018.ANWR_RPHR.PRCE_NA_IDAL_NA_RFO_NA_USA_Y13DLRPBBL.A,"Real Petroleum Prices : Industrial : Residual Fuel Oil, High ANWR, AEO2018",Annual Energy Outlook 2018
2017 $/gal,AEO.2018.HP_CPP.PRCE_COMP_NA_NA_MGS_FTAX_MTN_Y13DLRPGLN.A,"Price Components : Motor Gasoline : End-User Price : Federal Taxes, Mountain, High price, CPP, AEO2018",Annual Energy Outlook 2018
2017 $/Mcf,AEO.2018.HR_CPP.PRCE_NA_TRN_NA_NG_NA_MATL_Y13DLRPMCF.A,"Natural Gas Delivered : Transportation : Middle Atlantic, High resource, CPP, AEO2018",Annual Energy Outlook 2018
2017 $/MMBtu,AEO.2018.HIGHRT.PRCE_NA_ELEP_NA_CL_NA_SERCSOES_Y13DLRPMMBTU.A,"Electricity : Fuel Prices : Coal, SERC Reliability Corporation / Southeastern, High resource, AEO2018",Annual Energy Outlook 2018
2017 $/st,AEO.2018.CO2FEE15.PRCE_MNMTH_NA_NA_CL_WST_NA_Y13DLRPTN.A,"Coal Prices : Waste Coal, $15 carbon fee, AEO2018",Annual Energy Outlook 2018
2017 $/ton,AEO.2018.HRNUC_PLUS20.PRCE_RLP_TEN_NA_CMN_NA_USA_Y13DLRPTN.A,"Total Energy : Real Prices : Coal at Minemouth, High resource, plus 20%, AEO2018",Annual Energy Outlook 2018
2017 cents/kWh,AEO.2018.AEO2017CPP.PRCE_NA_IDAL_NA_ELC_NA_RFCWT_Y13CNTPKWH.A,"Electricity : End-Use Prices : Industrial, Reliability First Corporation / West, AEO2017, CPP, AEO2018",Annual Energy Outlook 2018
2018 $/b,AEO.2019.LOWMACRO.PRCE_NA_ONS_NA_CR_WLHD_GLFCT_Y13DLRPBBL.A,"Crude Oil : Wellhead Prices : Lower 48 Onshore : Gulf Coast, Low growth, AEO2019",Annual Energy Outlook 2019
2018 $/gal,AEO.2019.REF2019.PRCE_NA_COMM_NA_DFO_NA_USA_Y13DLRPGLN.A,"Real Petroleum Prices : Commercial : Distillate Fuel Oil, Reference, AEO2019",Annual Energy Outlook 2019
2018 $/Mcf,AEO.2019.LOWMACRO.PRCE_NA_IDAL_NA_NG_NA_NENGL_Y13DLRPMCF.A,"Natural Gas Delivered : Industrial : New England, Low growth, AEO2019",Annual Energy Outlook 2019
2018 $/MMBtu,AEO.2019.HIGHPRICE.PRCE_REAL_ELEP_NA_RFO_NA_SOATL_Y13DLRPMMBTU.A,"Energy Prices : Electric Power : Residual Fuel Oil, South Atlantic, High price, AEO2019",Annual Energy Outlook 2019
2018 $/st,AEO.2019.LOWPRICE.PRCE_MNMTH_NA_NA_CL_NA_NA_Y13DLRPTN.A,"Coal Minemouth Prices : United States Average, Low price, AEO2019",Annual Energy Outlook 2019
2018 $/ton,AEO.2019.LOWMACRO.PRCE_RLP_TEN_NA_CMN_NA_USA_Y13DLRPTN.A,"Total Energy : Real Prices : Coal at Minemouth, Low growth, AEO2019",Annual Energy Outlook 2019
2018 cents/kWh,AEO.2019.HIGHRT.PRCE_NA_TRN_NA_ELC_NA_SERCCNT_Y13CNTPKWH.A,"Electricity : End-Use Prices : Transportation, SERC Reliability Corporation / Central, High resource, AEO2019",Annual Energy Outlook 2019
2019 $/b,AEO.2020.LOWMACRO.PRCE_RLP_TEN_NA_WTI_NA_USA_Y13DLRPBBL.A,"Total Energy : Real Prices : West Texas Intermediate, Low growth, AEO2020",Annual Energy Outlook 2020
2019 $/gal,AEO.2020.HIGHMACRO.PRCE_COMP_NA_NA_JFL_ATAX_MTN_Y13DLRPGLN.A,"Price Components : Jet Fuel : End-User Price : Tax/Allowance, Mountain, High growth, AEO2020",Annual Energy Outlook 2020
2019 $/Mcf,AEO.2020.HIGHOGS.PRCE_NA_ELEP_NA_NG_NA_PCF_Y13DLRPMCF.A,"Natural Gas Delivered : Electric Power : Pacific, High oil and gas supply, AEO2020",Annual Energy Outlook 2020
2019 $/MMBtu,AEO.2020.LOWMACRO.PRCE_NA_ELEP_NA_DSTL_NA_SWPPNO_Y13DLRPMMBTU.A,"Electricity : Fuel Prices : Distillate Fuel Oil, Southwest Power Pool / North, Low growth, AEO2020",Annual Energy Outlook 2020
2019 $/st,AEO.2020.LOWPRICE.PRCE_MNMTH_NA_NA_CL_LOSULBIT_SAPP_Y13DLRPTN.A,"Coal Minemouth Prices : Southern Appalachia : Low Sulfur Bituminous, Low price, AEO2020",Annual Energy Outlook 2020
